layers_0,length_0,layers_1,length_1,layers_2,length_2,timestamps,length_total,mac_src,mac_dst,ip_src,ip_dst,flags,sport,dport,application,filename,num_packet,mac_src_custom,mac_dst_custom,layers_3,length_3,layers_4,length_4
CookedLinux,68,IP,52,TCP,32,1591954801.356452,68,,,192.168.0.155,10.16.100.73,16,39481,1883,MQTT,MQTT_Kaggle.pcap,26,50:02:91:C2:B4:8D,50:02:91:3D:4C:97,,,,
CookedLinux,76,IP,60,TCP,40,1591954801.364754,76,,,192.168.0.174,10.16.100.73,2,43063,1883,MQTT,MQTT_Kaggle.pcap,27,50:02:91:2A:5F:8B,50:02:91:3D:4C:97,,,,
CookedLinux,76,IP,60,TCP,40,1591954801.364763,76,,,10.16.100.73,192.168.0.174,18,1883,43063,MQTT,MQTT_Kaggle.pcap,28,50:02:91:3D:4C:97,50:02:91:2A:5F:8B,,,,
CookedLinux,68,IP,52,TCP,32,1591954801.364789,68,,,192.168.0.174,10.16.100.73,16,43063,1883,MQTT,MQTT_Kaggle.pcap,29,50:02:91:2A:5F:8B,50:02:91:3D:4C:97,,,,
CookedLinux,105,IP,89,TCP,69,1591954801.370848,105,,,192.168.0.151,10.16.100.73,24,39937,1883,MQTT,MQTT_Kaggle.pcap,30,50:02:91:48:23:4A,50:02:91:3D:4C:97,MQTT,37.0,MQTTConnect,35.0
CookedLinux,68,IP,52,TCP,32,1591954801.3708632,68,,,10.16.100.73,192.168.0.151,16,1883,39937,MQTT,MQTT_Kaggle.pcap,31,50:02:91:3D:4C:97,50:02:91:48:23:4A,,,,
CookedLinux,105,IP,89,TCP,69,1591954801.3708858,105,,,192.168.0.152,10.16.100.73,24,38451,1883,MQTT,MQTT_Kaggle.pcap,32,50:02:91:0D:AA:71,50:02:91:3D:4C:97,MQTT,37.0,MQTTConnect,35.0
CookedLinux,68,IP,52,TCP,32,1591954801.370889,68,,,10.16.100.73,192.168.0.152,16,1883,38451,MQTT,MQTT_Kaggle.pcap,33,50:02:91:3D:4C:97,50:02:91:0D:AA:71,,,,
CookedLinux,105,IP,89,TCP,69,1591954801.370898,105,,,192.168.0.180,10.16.100.73,24,33123,1883,MQTT,MQTT_Kaggle.pcap,34,50:02:91:38:9C:2D,50:02:91:3D:4C:97,MQTT,37.0,MQTTConnect,35.0
CookedLinux,68,IP,52,TCP,32,1591954801.3709009,68,,,10.16.100.73,192.168.0.180,16,1883,33123,MQTT,MQTT_Kaggle.pcap,35,50:02:91:3D:4C:97,50:02:91:38:9C:2D,,,,
CookedLinux,72,IP,56,TCP,36,1591954801.370906,72,,,10.16.100.73,192.168.0.151,24,1883,39937,MQTT,MQTT_Kaggle.pcap,36,50:02:91:3D:4C:97,50:02:91:48:23:4A,MQTT,4.0,MQTTConnack,2.0
CookedLinux,105,IP,89,TCP,69,1591954801.370908,105,,,192.168.0.176,10.16.100.73,24,43061,1883,MQTT,MQTT_Kaggle.pcap,37,50:02:91:AC:C2:6A,50:02:91:3D:4C:97,MQTT,37.0,MQTTConnect,35.0
CookedLinux,68,IP,52,TCP,32,1591954801.3709118,68,,,192.168.0.151,10.16.100.73,16,39937,1883,MQTT,MQTT_Kaggle.pcap,38,50:02:91:48:23:4A,50:02:91:3D:4C:97,,,,
CookedLinux,68,IP,52,TCP,32,1591954801.3709118,68,,,10.16.100.73,192.168.0.176,16,1883,43061,MQTT,MQTT_Kaggle.pcap,39,50:02:91:3D:4C:97,50:02:91:AC:C2:6A,,,,
CookedLinux,105,IP,89,TCP,69,1591954801.370919,105,,,192.168.0.155,10.16.100.73,24,39481,1883,MQTT,MQTT_Kaggle.pcap,40,50:02:91:C2:B4:8D,50:02:91:3D:4C:97,MQTT,37.0,MQTTConnect,35.0
CookedLinux,68,IP,52,TCP,32,1591954801.370922,68,,,10.16.100.73,192.168.0.155,16,1883,39481,MQTT,MQTT_Kaggle.pcap,41,50:02:91:3D:4C:97,50:02:91:C2:B4:8D,,,,
CookedLinux,72,IP,56,TCP,36,1591954801.3709369,72,,,10.16.100.73,192.168.0.152,24,1883,38451,MQTT,MQTT_Kaggle.pcap,42,50:02:91:3D:4C:97,50:02:91:0D:AA:71,MQTT,4.0,MQTTConnack,2.0
CookedLinux,105,IP,89,TCP,69,1591954801.370938,105,,,192.168.0.150,10.16.100.73,24,38969,1883,MQTT,MQTT_Kaggle.pcap,43,50:02:91:1A:7D:68,50:02:91:3D:4C:97,MQTT,37.0,MQTTConnect,35.0
CookedLinux,68,IP,52,TCP,32,1591954801.37094,68,,,192.168.0.152,10.16.100.73,16,38451,1883,MQTT,MQTT_Kaggle.pcap,44,50:02:91:0D:AA:71,50:02:91:3D:4C:97,,,,
CookedLinux,68,IP,52,TCP,32,1591954801.370941,68,,,10.16.100.73,192.168.0.150,16,1883,38969,MQTT,MQTT_Kaggle.pcap,45,50:02:91:3D:4C:97,50:02:91:1A:7D:68,,,,
CookedLinux,105,IP,89,TCP,69,1591954801.370949,105,,,192.168.0.173,10.16.100.73,24,46155,1883,MQTT,MQTT_Kaggle.pcap,46,50:02:91:0E:83:D7,50:02:91:3D:4C:97,MQTT,37.0,MQTTConnect,35.0
CookedLinux,72,IP,56,TCP,36,1591954801.370952,72,,,10.16.100.73,192.168.0.180,24,1883,33123,MQTT,MQTT_Kaggle.pcap,47,50:02:91:3D:4C:97,50:02:91:38:9C:2D,MQTT,4.0,MQTTConnack,2.0
CookedLinux,68,IP,52,TCP,32,1591954801.370952,68,,,10.16.100.73,192.168.0.173,16,1883,46155,MQTT,MQTT_Kaggle.pcap,48,50:02:91:3D:4C:97,50:02:91:0E:83:D7,,,,
CookedLinux,68,IP,52,TCP,32,1591954801.370955,68,,,192.168.0.180,10.16.100.73,16,33123,1883,MQTT,MQTT_Kaggle.pcap,49,50:02:91:38:9C:2D,50:02:91:3D:4C:97,,,,
CookedLinux,105,IP,89,TCP,69,1591954801.37096,105,,,192.168.0.174,10.16.100.73,24,43063,1883,MQTT,MQTT_Kaggle.pcap,50,50:02:91:2A:5F:8B,50:02:91:3D:4C:97,MQTT,37.0,MQTTConnect,35.0
CookedLinux,68,IP,52,TCP,32,1591954801.370962,68,,,10.16.100.73,192.168.0.174,16,1883,43063,MQTT,MQTT_Kaggle.pcap,51,50:02:91:3D:4C:97,50:02:91:2A:5F:8B,,,,
CookedLinux,72,IP,56,TCP,36,1591954801.370965,72,,,10.16.100.73,192.168.0.176,24,1883,43061,MQTT,MQTT_Kaggle.pcap,52,50:02:91:3D:4C:97,50:02:91:AC:C2:6A,MQTT,4.0,MQTTConnack,2.0
CookedLinux,68,IP,52,TCP,32,1591954801.370968,68,,,192.168.0.176,10.16.100.73,16,43061,1883,MQTT,MQTT_Kaggle.pcap,53,50:02:91:AC:C2:6A,50:02:91:3D:4C:97,,,,
CookedLinux,105,IP,89,TCP,69,1591954801.370974,105,,,192.168.0.154,10.16.100.73,24,45845,1883,MQTT,MQTT_Kaggle.pcap,54,50:02:91:1B:E0:40,50:02:91:3D:4C:97,MQTT,37.0,MQTTConnect,35.0
CookedLinux,68,IP,52,TCP,32,1591954801.370977,68,,,10.16.100.73,192.168.0.154,16,1883,45845,MQTT,MQTT_Kaggle.pcap,55,50:02:91:3D:4C:97,50:02:91:1B:E0:40,,,,
CookedLinux,72,IP,56,TCP,36,1591954801.3709788,72,,,10.16.100.73,192.168.0.155,24,1883,39481,MQTT,MQTT_Kaggle.pcap,56,50:02:91:3D:4C:97,50:02:91:C2:B4:8D,MQTT,4.0,MQTTConnack,2.0
CookedLinux,68,IP,52,TCP,32,1591954801.370981,68,,,192.168.0.155,10.16.100.73,16,39481,1883,MQTT,MQTT_Kaggle.pcap,57,50:02:91:C2:B4:8D,50:02:91:3D:4C:97,,,,
CookedLinux,72,IP,56,TCP,36,1591954801.371003,72,,,10.16.100.73,192.168.0.150,24,1883,38969,MQTT,MQTT_Kaggle.pcap,58,50:02:91:3D:4C:97,50:02:91:1A:7D:68,MQTT,4.0,MQTTConnack,2.0
CookedLinux,68,IP,52,TCP,32,1591954801.371006,68,,,192.168.0.150,10.16.100.73,16,38969,1883,MQTT,MQTT_Kaggle.pcap,59,50:02:91:1A:7D:68,50:02:91:3D:4C:97,,,,
CookedLinux,72,IP,56,TCP,36,1591954801.371016,72,,,10.16.100.73,192.168.0.154,24,1883,45845,MQTT,MQTT_Kaggle.pcap,60,50:02:91:3D:4C:97,50:02:91:1B:E0:40,MQTT,4.0,MQTTConnack,2.0
CookedLinux,68,IP,52,TCP,32,1591954801.371018,68,,,192.168.0.154,10.16.100.73,16,45845,1883,MQTT,MQTT_Kaggle.pcap,61,50:02:91:1B:E0:40,50:02:91:3D:4C:97,,,,
CookedLinux,72,IP,56,TCP,36,1591954801.371028,72,,,10.16.100.73,192.168.0.173,24,1883,46155,MQTT,MQTT_Kaggle.pcap,62,50:02:91:3D:4C:97,50:02:91:0E:83:D7,MQTT,4.0,MQTTConnack,2.0
CookedLinux,68,IP,52,TCP,32,1591954801.37103,68,,,192.168.0.173,10.16.100.73,16,46155,1883,MQTT,MQTT_Kaggle.pcap,63,50:02:91:0E:83:D7,50:02:91:3D:4C:97,,,,
CookedLinux,72,IP,56,TCP,36,1591954801.3710392,72,,,10.16.100.73,192.168.0.174,24,1883,43063,MQTT,MQTT_Kaggle.pcap,64,50:02:91:3D:4C:97,50:02:91:2A:5F:8B,MQTT,4.0,MQTTConnack,2.0
CookedLinux,68,IP,52,TCP,32,1591954801.371042,68,,,192.168.0.174,10.16.100.73,16,43063,1883,MQTT,MQTT_Kaggle.pcap,65,50:02:91:2A:5F:8B,50:02:91:3D:4C:97,,,,
CookedLinux,105,IP,89,TCP,69,1591954801.371186,105,,,192.168.0.178,10.16.100.73,24,44655,1883,MQTT,MQTT_Kaggle.pcap,66,50:02:91:CE:A6:4A,50:02:91:3D:4C:97,MQTT,37.0,MQTTConnect,35.0
CookedLinux,68,IP,52,TCP,32,1591954801.371196,68,,,10.16.100.73,192.168.0.178,16,1883,44655,MQTT,MQTT_Kaggle.pcap,67,50:02:91:3D:4C:97,50:02:91:CE:A6:4A,,,,
CookedLinux,72,IP,56,TCP,36,1591954801.371242,72,,,10.16.100.73,192.168.0.178,24,1883,44655,MQTT,MQTT_Kaggle.pcap,68,50:02:91:3D:4C:97,50:02:91:CE:A6:4A,MQTT,4.0,MQTTConnack,2.0
CookedLinux,68,IP,52,TCP,32,1591954801.371248,68,,,192.168.0.178,10.16.100.73,16,44655,1883,MQTT,MQTT_Kaggle.pcap,69,50:02:91:CE:A6:4A,50:02:91:3D:4C:97,,,,
CookedLinux,80,IP,64,TCP,44,1591954801.37168,80,,,192.168.0.180,10.16.100.73,24,33123,1883,MQTT,MQTT_Kaggle.pcap,70,50:02:91:38:9C:2D,50:02:91:3D:4C:97,MQTT,12.0,MQTTSubscribe,10.0
CookedLinux,68,IP,52,TCP,32,1591954801.371687,68,,,10.16.100.73,192.168.0.180,16,1883,33123,MQTT,MQTT_Kaggle.pcap,71,50:02:91:3D:4C:97,50:02:91:38:9C:2D,,,,
CookedLinux,73,IP,57,TCP,37,1591954801.371722,73,,,10.16.100.73,192.168.0.180,24,1883,33123,MQTT,MQTT_Kaggle.pcap,72,50:02:91:3D:4C:97,50:02:91:38:9C:2D,MQTT,5.0,MQTTSuback,3.0
CookedLinux,68,IP,52,TCP,32,1591954801.3717391,68,,,192.168.0.180,10.16.100.73,16,33123,1883,MQTT,MQTT_Kaggle.pcap,73,50:02:91:38:9C:2D,50:02:91:3D:4C:97,,,,
CookedLinux,84,IP,68,TCP,48,1591954801.371842,84,,,192.168.0.176,10.16.100.73,24,43061,1883,MQTT,MQTT_Kaggle.pcap,74,50:02:91:AC:C2:6A,50:02:91:3D:4C:97,MQTT,16.0,MQTTSubscribe,14.0
CookedLinux,68,IP,52,TCP,32,1591954801.37185,68,,,10.16.100.73,192.168.0.176,16,1883,43061,MQTT,MQTT_Kaggle.pcap,75,50:02:91:3D:4C:97,50:02:91:AC:C2:6A,,,,
CookedLinux,83,IP,67,TCP,47,1591954801.37186,83,,,192.168.0.154,10.16.100.73,24,45845,1883,MQTT,MQTT_Kaggle.pcap,76,50:02:91:1B:E0:40,50:02:91:3D:4C:97,MQTT,15.0,MQTTSubscribe,13.0
CookedLinux,68,IP,52,TCP,32,1591954801.371862,68,,,10.16.100.73,192.168.0.154,16,1883,45845,MQTT,MQTT_Kaggle.pcap,77,50:02:91:3D:4C:97,50:02:91:1B:E0:40,,,,
CookedLinux,81,IP,65,TCP,45,1591954801.3718688,81,,,192.168.0.155,10.16.100.73,24,39481,1883,MQTT,MQTT_Kaggle.pcap,78,50:02:91:C2:B4:8D,50:02:91:3D:4C:97,MQTT,13.0,MQTTSubscribe,11.0
CookedLinux,68,IP,52,TCP,32,1591954801.371871,68,,,10.16.100.73,192.168.0.155,16,1883,39481,MQTT,MQTT_Kaggle.pcap,79,50:02:91:3D:4C:97,50:02:91:C2:B4:8D,,,,
CookedLinux,73,IP,57,TCP,37,1591954801.371885,73,,,10.16.100.73,192.168.0.176,24,1883,43061,MQTT,MQTT_Kaggle.pcap,80,50:02:91:3D:4C:97,50:02:91:AC:C2:6A,MQTT,5.0,MQTTSuback,3.0
CookedLinux,90,IP,74,TCP,54,1591954801.371886,90,,,192.168.0.150,10.16.100.73,24,38969,1883,MQTT,MQTT_Kaggle.pcap,81,50:02:91:1A:7D:68,50:02:91:3D:4C:97,MQTT,22.0,MQTTSubscribe,20.0
CookedLinux,68,IP,52,TCP,32,1591954801.3718882,68,,,10.16.100.73,192.168.0.150,16,1883,38969,MQTT,MQTT_Kaggle.pcap,82,50:02:91:3D:4C:97,50:02:91:1A:7D:68,,,,
CookedLinux,68,IP,52,TCP,32,1591954801.37189,68,,,192.168.0.176,10.16.100.73,16,43061,1883,MQTT,MQTT_Kaggle.pcap,83,50:02:91:AC:C2:6A,50:02:91:3D:4C:97,,,,
CookedLinux,83,IP,67,TCP,47,1591954801.371894,83,,,192.168.0.174,10.16.100.73,24,43063,1883,MQTT,MQTT_Kaggle.pcap,84,50:02:91:2A:5F:8B,50:02:91:3D:4C:97,MQTT,15.0,MQTTSubscribe,13.0
CookedLinux,68,IP,52,TCP,32,1591954801.371897,68,,,10.16.100.73,192.168.0.174,16,1883,43063,MQTT,MQTT_Kaggle.pcap,85,50:02:91:3D:4C:97,50:02:91:2A:5F:8B,,,,
CookedLinux,73,IP,57,TCP,37,1591954801.3719132,73,,,10.16.100.73,192.168.0.150,24,1883,38969,MQTT,MQTT_Kaggle.pcap,86,50:02:91:3D:4C:97,50:02:91:1A:7D:68,MQTT,5.0,MQTTSuback,3.0
CookedLinux,68,IP,52,TCP,32,1591954801.371916,68,,,192.168.0.150,10.16.100.73,16,38969,1883,MQTT,MQTT_Kaggle.pcap,87,50:02:91:1A:7D:68,50:02:91:3D:4C:97,,,,
CookedLinux,84,IP,68,TCP,48,1591954801.371923,84,,,192.168.0.173,10.16.100.73,24,46155,1883,MQTT,MQTT_Kaggle.pcap,88,50:02:91:0E:83:D7,50:02:91:3D:4C:97,MQTT,16.0,MQTTSubscribe,14.0
CookedLinux,68,IP,52,TCP,32,1591954801.371926,68,,,10.16.100.73,192.168.0.173,16,1883,46155,MQTT,MQTT_Kaggle.pcap,89,50:02:91:3D:4C:97,50:02:91:0E:83:D7,,,,
CookedLinux,73,IP,57,TCP,37,1591954801.371928,73,,,10.16.100.73,192.168.0.154,24,1883,45845,MQTT,MQTT_Kaggle.pcap,90,50:02:91:3D:4C:97,50:02:91:1B:E0:40,MQTT,5.0,MQTTSuback,3.0
CookedLinux,68,IP,52,TCP,32,1591954801.371931,68,,,192.168.0.154,10.16.100.73,16,45845,1883,MQTT,MQTT_Kaggle.pcap,91,50:02:91:1B:E0:40,50:02:91:3D:4C:97,,,,
CookedLinux,73,IP,57,TCP,37,1591954801.371943,73,,,10.16.100.73,192.168.0.155,24,1883,39481,MQTT,MQTT_Kaggle.pcap,92,50:02:91:3D:4C:97,50:02:91:C2:B4:8D,MQTT,5.0,MQTTSuback,3.0
CookedLinux,68,IP,52,TCP,32,1591954801.371946,68,,,192.168.0.155,10.16.100.73,16,39481,1883,MQTT,MQTT_Kaggle.pcap,93,50:02:91:C2:B4:8D,50:02:91:3D:4C:97,,,,
CookedLinux,73,IP,57,TCP,37,1591954801.371957,73,,,10.16.100.73,192.168.0.174,24,1883,43063,MQTT,MQTT_Kaggle.pcap,94,50:02:91:3D:4C:97,50:02:91:2A:5F:8B,MQTT,5.0,MQTTSuback,3.0
CookedLinux,68,IP,52,TCP,32,1591954801.37196,68,,,192.168.0.174,10.16.100.73,16,43063,1883,MQTT,MQTT_Kaggle.pcap,95,50:02:91:2A:5F:8B,50:02:91:3D:4C:97,,,,
CookedLinux,73,IP,57,TCP,37,1591954801.371978,73,,,10.16.100.73,192.168.0.173,24,1883,46155,MQTT,MQTT_Kaggle.pcap,96,50:02:91:3D:4C:97,50:02:91:0E:83:D7,MQTT,5.0,MQTTSuback,3.0
CookedLinux,68,IP,52,TCP,32,1591954801.3719869,68,,,192.168.0.173,10.16.100.73,16,46155,1883,MQTT,MQTT_Kaggle.pcap,97,50:02:91:0E:83:D7,50:02:91:3D:4C:97,,,,
CookedLinux,86,IP,70,TCP,50,1591954802.422675,86,,,192.168.0.151,10.16.100.73,24,39937,1883,MQTT,MQTT_Kaggle.pcap,98,50:02:91:48:23:4A,50:02:91:3D:4C:97,MQTT,18.0,MQTTPublish,16.0
CookedLinux,68,IP,52,TCP,32,1591954802.422694,68,,,10.16.100.73,192.168.0.151,16,1883,39937,MQTT,MQTT_Kaggle.pcap,99,50:02:91:3D:4C:97,50:02:91:48:23:4A,,,,
CookedLinux,78,IP,62,TCP,42,1591954802.4227312,78,,,192.168.0.180,10.16.100.73,24,33123,1883,MQTT,MQTT_Kaggle.pcap,100,50:02:91:38:9C:2D,50:02:91:3D:4C:97,MQTT,10.0,MQTTPublish,8.0
CookedLinux,68,IP,52,TCP,32,1591954802.422734,68,,,10.16.100.73,192.168.0.180,16,1883,33123,MQTT,MQTT_Kaggle.pcap,101,50:02:91:3D:4C:97,50:02:91:38:9C:2D,,,,
CookedLinux,88,IP,72,TCP,52,1591954802.42275,88,,,192.168.0.150,10.16.100.73,24,38969,1883,MQTT,MQTT_Kaggle.pcap,102,50:02:91:1A:7D:68,50:02:91:3D:4C:97,MQTT,20.0,MQTTPublish,18.0
CookedLinux,68,IP,52,TCP,32,1591954802.4227538,68,,,10.16.100.73,192.168.0.150,16,1883,38969,MQTT,MQTT_Kaggle.pcap,103,50:02:91:3D:4C:97,50:02:91:1A:7D:68,,,,
CookedLinux,82,IP,66,TCP,46,1591954802.422762,82,,,192.168.0.173,10.16.100.73,24,46155,1883,MQTT,MQTT_Kaggle.pcap,104,50:02:91:0E:83:D7,50:02:91:3D:4C:97,MQTT,14.0,MQTTPublish,12.0
CookedLinux,68,IP,52,TCP,32,1591954802.422765,68,,,10.16.100.73,192.168.0.173,16,1883,46155,MQTT,MQTT_Kaggle.pcap,105,50:02:91:3D:4C:97,50:02:91:0E:83:D7,,,,
CookedLinux,81,IP,65,TCP,45,1591954802.422774,81,,,192.168.0.174,10.16.100.73,24,43063,1883,MQTT,MQTT_Kaggle.pcap,106,50:02:91:2A:5F:8B,50:02:91:3D:4C:97,MQTT,13.0,MQTTPublish,11.0
CookedLinux,68,IP,52,TCP,32,1591954802.422776,68,,,10.16.100.73,192.168.0.174,16,1883,43063,MQTT,MQTT_Kaggle.pcap,107,50:02:91:3D:4C:97,50:02:91:2A:5F:8B,,,,
CookedLinux,82,IP,66,TCP,46,1591954802.422792,82,,,192.168.0.152,10.16.100.73,24,38451,1883,MQTT,MQTT_Kaggle.pcap,108,50:02:91:0D:AA:71,50:02:91:3D:4C:97,MQTT,14.0,MQTTPublish,12.0
CookedLinux,68,IP,52,TCP,32,1591954802.4227948,68,,,10.16.100.73,192.168.0.152,16,1883,38451,MQTT,MQTT_Kaggle.pcap,109,50:02:91:3D:4C:97,50:02:91:0D:AA:71,,,,
CookedLinux,81,IP,65,TCP,45,1591954802.422803,81,,,192.168.0.154,10.16.100.73,24,45845,1883,MQTT,MQTT_Kaggle.pcap,110,50:02:91:1B:E0:40,50:02:91:3D:4C:97,MQTT,13.0,MQTTPublish,11.0
CookedLinux,68,IP,52,TCP,32,1591954802.422806,68,,,10.16.100.73,192.168.0.154,16,1883,45845,MQTT,MQTT_Kaggle.pcap,111,50:02:91:3D:4C:97,50:02:91:1B:E0:40,,,,
CookedLinux,78,IP,62,TCP,42,1591954802.422807,78,,,10.16.100.73,192.168.0.180,24,1883,33123,MQTT,MQTT_Kaggle.pcap,112,50:02:91:3D:4C:97,50:02:91:38:9C:2D,MQTT,10.0,MQTTPublish,8.0
CookedLinux,68,IP,52,TCP,32,1591954802.422812,68,,,192.168.0.180,10.16.100.73,16,33123,1883,MQTT,MQTT_Kaggle.pcap,113,50:02:91:38:9C:2D,50:02:91:3D:4C:97,,,,
CookedLinux,76,IP,60,TCP,40,1591954802.4228132,76,,,192.168.0.178,10.16.100.73,24,44655,1883,MQTT,MQTT_Kaggle.pcap,114,50:02:91:CE:A6:4A,50:02:91:3D:4C:97,MQTT,8.0,MQTTPublish,6.0
CookedLinux,68,IP,52,TCP,32,1591954802.422817,68,,,10.16.100.73,192.168.0.178,16,1883,44655,MQTT,MQTT_Kaggle.pcap,115,50:02:91:3D:4C:97,50:02:91:CE:A6:4A,,,,
CookedLinux,88,IP,72,TCP,52,1591954802.422864,88,,,10.16.100.73,192.168.0.150,24,1883,38969,MQTT,MQTT_Kaggle.pcap,116,50:02:91:3D:4C:97,50:02:91:1A:7D:68,MQTT,20.0,MQTTPublish,18.0
