layers_0,length_0,layers_1,length_1,layers_2,length_2,timestamps,length_total,mac_src,mac_dst,ip_src,ip_dst,flags,sport,dport,application,filename,num_packet,mac_src_custom,mac_dst_custom,layers_3,length_3,layers_4,length_4,layers_5,length_5
Ether,126,IP,112,TCP,92.0,1581674963.136805,126,00:50:00:00:15:00,50:00:00:01:00:03,10.0.0.11,192.168.1.7,24.0,51906.0,1883.0,MQTT,MQTT_IEEE.pcap,23,50:02:91:55:8E:56,50:02:91:22:1A:8C,MQTT,60.0,MQTTPublish,58.0,,
Ether,68,IP,54,TCP,34.0,1581674963.136874,68,00:50:00:00:15:00,50:00:00:01:00:03,10.0.0.11,192.168.1.7,25.0,51906.0,1883.0,MQTT,MQTT_IEEE.pcap,24,50:02:91:55:8E:56,50:02:91:22:1A:8C,MQTT,2.0,,,,
Ether,66,IP,52,TCP,32.0,1581674963.137,66,50:00:00:01:00:03,00:50:00:00:15:00,192.168.1.7,10.0.0.11,16.0,1883.0,51906.0,MQTT,MQTT_IEEE.pcap,25,50:02:91:22:1A:8C,50:02:91:55:8E:56,,,,,,
Ether,66,IP,52,TCP,32.0,1581674963.137004,66,50:00:00:01:00:03,00:50:00:00:15:00,192.168.1.7,10.0.0.11,17.0,1883.0,51906.0,MQTT,MQTT_IEEE.pcap,26,50:02:91:22:1A:8C,50:02:91:55:8E:56,,,,,,
Ether,66,IP,52,TCP,32.0,1581674963.137179,66,00:50:00:00:15:00,50:00:00:01:00:03,10.0.0.11,192.168.1.7,16.0,51906.0,1883.0,MQTT,MQTT_IEEE.pcap,27,50:02:91:55:8E:56,50:02:91:22:1A:8C,,,,,,
Ether,66,IP,52,TCP,32.0,1581674963.137434,66,00:50:00:00:17:00,50:00:00:01:00:03,10.0.0.14,192.168.1.7,16.0,54202.0,1883.0,MQTT,MQTT_IEEE.pcap,28,50:02:91:1E:08:55,50:02:91:22:1A:8C,,,,,,
Ether,115,IP,101,TCP,81.0,1581674963.13749,115,00:50:00:00:17:00,50:00:00:01:00:03,10.0.0.14,192.168.1.7,24.0,54202.0,1883.0,MQTT,MQTT_IEEE.pcap,29,50:02:91:1E:08:55,50:02:91:22:1A:8C,MQTT,49.0,MQTTConnect,47.0,,
Ether,66,IP,52,TCP,32.0,1581674963.137582,66,50:00:00:01:00:03,00:50:00:00:17:00,192.168.1.7,10.0.0.14,16.0,1883.0,54202.0,MQTT,MQTT_IEEE.pcap,30,50:02:91:22:1A:8C,50:02:91:1E:08:55,,,,,,
Ether,70,IP,56,TCP,36.0,1581674963.137601,70,50:00:00:01:00:03,00:50:00:00:17:00,192.168.1.7,10.0.0.14,24.0,1883.0,54202.0,MQTT,MQTT_IEEE.pcap,31,50:02:91:22:1A:8C,50:02:91:1E:08:55,MQTT,4.0,MQTTConnack,2.0,,
Ether,66,IP,52,TCP,32.0,1581674963.137768,66,00:50:00:00:17:00,50:00:00:01:00:03,10.0.0.14,192.168.1.7,16.0,54202.0,1883.0,MQTT,MQTT_IEEE.pcap,32,50:02:91:1E:08:55,50:02:91:22:1A:8C,,,,,,
Ether,174,IP,160,TCP,140.0,1581674963.137862,174,00:50:00:00:17:00,50:00:00:01:00:03,10.0.0.14,192.168.1.7,24.0,54202.0,1883.0,MQTT,MQTT_IEEE.pcap,33,50:02:91:1E:08:55,50:02:91:22:1A:8C,MQTT,108.0,MQTTPublish,106.0,,
Ether,68,IP,54,TCP,34.0,1581674963.137883,68,00:50:00:00:17:00,50:00:00:01:00:03,10.0.0.14,192.168.1.7,25.0,54202.0,1883.0,MQTT,MQTT_IEEE.pcap,34,50:02:91:1E:08:55,50:02:91:22:1A:8C,MQTT,2.0,,,,
Ether,66,IP,52,TCP,32.0,1581674963.137992,66,50:00:00:01:00:03,00:50:00:00:17:00,192.168.1.7,10.0.0.14,16.0,1883.0,54202.0,MQTT,MQTT_IEEE.pcap,35,50:02:91:22:1A:8C,50:02:91:1E:08:55,,,,,,
Ether,66,IP,52,TCP,32.0,1581674963.1379962,66,50:00:00:01:00:03,00:50:00:00:17:00,192.168.1.7,10.0.0.14,17.0,1883.0,54202.0,MQTT,MQTT_IEEE.pcap,36,50:02:91:22:1A:8C,50:02:91:1E:08:55,,,,,,
Ether,66,IP,52,TCP,32.0,1581674963.138167,66,00:50:00:00:17:00,50:00:00:01:00:03,10.0.0.14,192.168.1.7,16.0,54202.0,1883.0,MQTT,MQTT_IEEE.pcap,37,50:02:91:1E:08:55,50:02:91:22:1A:8C,,,,,,
Ether,74,IP,60,TCP,40.0,1581674963.321474,74,00:50:00:00:1f:00,50:00:00:01:00:03,10.0.0.23,8.8.8.8,2.0,39760.0,53.0,OTHERS,MQTT_IEEE.pcap,39,50:02:91:21:8E:5C,50:02:91:1F:C3:57,,,,,,
Ether,74,IP,60,TCP,40.0,1581674963.3214788,74,00:50:00:00:1f:00,50:00:00:01:00:03,10.0.0.23,8.8.8.8,2.0,39758.0,53.0,OTHERS,MQTT_IEEE.pcap,40,50:02:91:21:8E:5C,50:02:91:1F:C3:57,,,,,,
Ether,74,IP,60,TCP,40.0,1581674963.321482,74,00:50:00:00:1f:00,50:00:00:01:00:03,10.0.0.23,8.8.8.8,2.0,39756.0,53.0,OTHERS,MQTT_IEEE.pcap,41,50:02:91:21:8E:5C,50:02:91:1F:C3:57,,,,,,
Ether,74,IP,60,TCP,40.0,1581674963.422321,74,00:50:00:00:12:00,50:00:00:01:00:03,10.0.0.12,192.168.1.7,2.0,39782.0,1883.0,MQTT,MQTT_IEEE.pcap,42,50:02:91:1C:EF:A8,50:02:91:22:1A:8C,,,,,,
Ether,74,IP,60,TCP,40.0,1581674963.42235,74,00:50:00:00:13:00,50:00:00:01:00:03,10.0.0.13,192.168.1.7,2.0,38052.0,1883.0,MQTT,MQTT_IEEE.pcap,43,50:02:91:91:08:40,50:02:91:22:1A:8C,,,,,,
Ether,74,IP,60,TCP,40.0,1581674963.4240868,74,00:50:00:00:0e:00,50:00:00:01:00:03,10.0.0.7,192.168.1.7,2.0,58286.0,1883.0,MQTT,MQTT_IEEE.pcap,44,50:02:91:06:3C:94,50:02:91:22:1A:8C,,,,,,
Ether,74,IP,60,TCP,40.0,1581674963.424191,74,50:00:00:01:00:03,00:50:00:00:12:00,192.168.1.7,10.0.0.12,18.0,1883.0,39782.0,MQTT,MQTT_IEEE.pcap,45,50:02:91:22:1A:8C,50:02:91:1C:EF:A8,,,,,,
Ether,74,IP,60,TCP,40.0,1581674963.4241982,74,50:00:00:01:00:03,00:50:00:00:13:00,192.168.1.7,10.0.0.13,18.0,1883.0,38052.0,MQTT,MQTT_IEEE.pcap,46,50:02:91:22:1A:8C,50:02:91:91:08:40,,,,,,
Ether,74,IP,60,TCP,40.0,1581674963.424234,74,00:50:00:00:19:00,50:00:00:01:00:03,10.0.0.16,192.168.1.7,2.0,58962.0,1883.0,MQTT,MQTT_IEEE.pcap,47,50:02:91:CE:64:2E,50:02:91:22:1A:8C,,,,,,
Ether,74,IP,60,TCP,40.0,1581674963.424435,74,50:00:00:01:00:03,00:50:00:00:0e:00,192.168.1.7,10.0.0.7,18.0,1883.0,58286.0,MQTT,MQTT_IEEE.pcap,48,50:02:91:22:1A:8C,50:02:91:06:3C:94,,,,,,
Ether,66,IP,52,TCP,32.0,1581674963.424596,66,00:50:00:00:13:00,50:00:00:01:00:03,10.0.0.13,192.168.1.7,16.0,38052.0,1883.0,MQTT,MQTT_IEEE.pcap,49,50:02:91:91:08:40,50:02:91:22:1A:8C,,,,,,
Ether,66,IP,52,TCP,32.0,1581674963.424602,66,00:50:00:00:12:00,50:00:00:01:00:03,10.0.0.12,192.168.1.7,16.0,39782.0,1883.0,MQTT,MQTT_IEEE.pcap,50,50:02:91:1C:EF:A8,50:02:91:22:1A:8C,,,,,,
Ether,74,IP,60,TCP,40.0,1581674963.424912,74,00:50:00:00:1a:00,50:00:00:01:00:03,10.0.0.17,192.168.1.7,2.0,35068.0,1883.0,MQTT,MQTT_IEEE.pcap,51,50:02:91:8F:C6:4F,50:02:91:22:1A:8C,,,,,,
Ether,114,IP,100,TCP,80.0,1581674963.425158,114,00:50:00:00:12:00,50:00:00:01:00:03,10.0.0.12,192.168.1.7,24.0,39782.0,1883.0,MQTT,MQTT_IEEE.pcap,52,50:02:91:1C:EF:A8,50:02:91:22:1A:8C,MQTT,48.0,MQTTConnect,46.0,,
Ether,66,IP,52,TCP,32.0,1581674963.42535,66,00:50:00:00:0e:00,50:00:00:01:00:03,10.0.0.7,192.168.1.7,16.0,58286.0,1883.0,MQTT,MQTT_IEEE.pcap,53,50:02:91:06:3C:94,50:02:91:22:1A:8C,,,,,,
Ether,115,IP,101,TCP,81.0,1581674963.425356,115,00:50:00:00:0e:00,50:00:00:01:00:03,10.0.0.7,192.168.1.7,24.0,58286.0,1883.0,MQTT,MQTT_IEEE.pcap,54,50:02:91:06:3C:94,50:02:91:22:1A:8C,MQTT,49.0,MQTTConnect,47.0,,
Ether,74,IP,60,TCP,40.0,1581674963.425422,74,50:00:00:01:00:03,00:50:00:00:19:00,192.168.1.7,10.0.0.16,18.0,1883.0,58962.0,MQTT,MQTT_IEEE.pcap,55,50:02:91:22:1A:8C,50:02:91:CE:64:2E,,,,,,
Ether,115,IP,101,TCP,81.0,1581674963.4254448,115,00:50:00:00:13:00,50:00:00:01:00:03,10.0.0.13,192.168.1.7,24.0,38052.0,1883.0,MQTT,MQTT_IEEE.pcap,56,50:02:91:91:08:40,50:02:91:22:1A:8C,MQTT,49.0,MQTTConnect,47.0,,
Ether,74,IP,60,TCP,40.0,1581674963.425498,74,50:00:00:01:00:03,00:50:00:00:1a:00,192.168.1.7,10.0.0.17,18.0,1883.0,35068.0,MQTT,MQTT_IEEE.pcap,57,50:02:91:22:1A:8C,50:02:91:8F:C6:4F,,,,,,
Ether,66,IP,52,TCP,32.0,1581674963.425503,66,50:00:00:01:00:03,00:50:00:00:12:00,192.168.1.7,10.0.0.12,16.0,1883.0,39782.0,MQTT,MQTT_IEEE.pcap,58,50:02:91:22:1A:8C,50:02:91:1C:EF:A8,,,,,,
Ether,66,IP,52,TCP,32.0,1581674963.4255712,66,50:00:00:01:00:03,00:50:00:00:0e:00,192.168.1.7,10.0.0.7,16.0,1883.0,58286.0,MQTT,MQTT_IEEE.pcap,59,50:02:91:22:1A:8C,50:02:91:06:3C:94,,,,,,
Ether,70,IP,56,TCP,36.0,1581674963.425576,70,50:00:00:01:00:03,00:50:00:00:12:00,192.168.1.7,10.0.0.12,24.0,1883.0,39782.0,MQTT,MQTT_IEEE.pcap,60,50:02:91:22:1A:8C,50:02:91:1C:EF:A8,MQTT,4.0,MQTTConnack,2.0,,
Ether,70,IP,56,TCP,36.0,1581674963.425646,70,50:00:00:01:00:03,00:50:00:00:0e:00,192.168.1.7,10.0.0.7,24.0,1883.0,58286.0,MQTT,MQTT_IEEE.pcap,61,50:02:91:22:1A:8C,50:02:91:06:3C:94,MQTT,4.0,MQTTConnack,2.0,,
Ether,66,IP,52,TCP,32.0,1581674963.425704,66,50:00:00:01:00:03,00:50:00:00:13:00,192.168.1.7,10.0.0.13,16.0,1883.0,38052.0,MQTT,MQTT_IEEE.pcap,62,50:02:91:22:1A:8C,50:02:91:91:08:40,,,,,,
Ether,70,IP,56,TCP,36.0,1581674963.425859,70,50:00:00:01:00:03,00:50:00:00:13:00,192.168.1.7,10.0.0.13,24.0,1883.0,38052.0,MQTT,MQTT_IEEE.pcap,63,50:02:91:22:1A:8C,50:02:91:91:08:40,MQTT,4.0,MQTTConnack,2.0,,
Ether,66,IP,52,TCP,32.0,1581674963.4266882,66,00:50:00:00:1a:00,50:00:00:01:00:03,10.0.0.17,192.168.1.7,16.0,35068.0,1883.0,MQTT,MQTT_IEEE.pcap,64,50:02:91:8F:C6:4F,50:02:91:22:1A:8C,,,,,,
Ether,115,IP,101,TCP,81.0,1581674963.426693,115,00:50:00:00:1a:00,50:00:00:01:00:03,10.0.0.17,192.168.1.7,24.0,35068.0,1883.0,MQTT,MQTT_IEEE.pcap,65,50:02:91:8F:C6:4F,50:02:91:22:1A:8C,MQTT,49.0,MQTTConnect,47.0,,
Ether,66,IP,52,TCP,32.0,1581674963.4267,66,00:50:00:00:19:00,50:00:00:01:00:03,10.0.0.16,192.168.1.7,16.0,58962.0,1883.0,MQTT,MQTT_IEEE.pcap,66,50:02:91:CE:64:2E,50:02:91:22:1A:8C,,,,,,
Ether,115,IP,101,TCP,81.0,1581674963.426703,115,00:50:00:00:19:00,50:00:00:01:00:03,10.0.0.16,192.168.1.7,24.0,58962.0,1883.0,MQTT,MQTT_IEEE.pcap,67,50:02:91:CE:64:2E,50:02:91:22:1A:8C,MQTT,49.0,MQTTConnect,47.0,,
Ether,66,IP,52,TCP,32.0,1581674963.42671,66,00:50:00:00:0e:00,50:00:00:01:00:03,10.0.0.7,192.168.1.7,16.0,58286.0,1883.0,MQTT,MQTT_IEEE.pcap,68,50:02:91:06:3C:94,50:02:91:22:1A:8C,,,,,,
Ether,87,IP,73,TCP,53.0,1581674963.426713,87,00:50:00:00:0e:00,50:00:00:01:00:03,10.0.0.7,192.168.1.7,24.0,58286.0,1883.0,MQTT,MQTT_IEEE.pcap,69,50:02:91:06:3C:94,50:02:91:22:1A:8C,MQTT,21.0,MQTTPublish,19.0,,
Ether,68,IP,54,TCP,34.0,1581674963.426719,68,00:50:00:00:0e:00,50:00:00:01:00:03,10.0.0.7,192.168.1.7,25.0,58286.0,1883.0,MQTT,MQTT_IEEE.pcap,70,50:02:91:06:3C:94,50:02:91:22:1A:8C,MQTT,2.0,,,,
Ether,66,IP,52,TCP,32.0,1581674963.426975,66,00:50:00:00:12:00,50:00:00:01:00:03,10.0.0.12,192.168.1.7,16.0,39782.0,1883.0,MQTT,MQTT_IEEE.pcap,71,50:02:91:1C:EF:A8,50:02:91:22:1A:8C,,,,,,
Ether,106,IP,92,TCP,72.0,1581674963.42698,106,00:50:00:00:12:00,50:00:00:01:00:03,10.0.0.12,192.168.1.7,24.0,39782.0,1883.0,MQTT,MQTT_IEEE.pcap,72,50:02:91:1C:EF:A8,50:02:91:22:1A:8C,MQTT,40.0,MQTTPublish,38.0,,
Ether,68,IP,54,TCP,34.0,1581674963.426983,68,00:50:00:00:12:00,50:00:00:01:00:03,10.0.0.12,192.168.1.7,25.0,39782.0,1883.0,MQTT,MQTT_IEEE.pcap,73,50:02:91:1C:EF:A8,50:02:91:22:1A:8C,MQTT,2.0,,,,
Ether,66,IP,52,TCP,32.0,1581674963.426986,66,00:50:00:00:13:00,50:00:00:01:00:03,10.0.0.13,192.168.1.7,16.0,38052.0,1883.0,MQTT,MQTT_IEEE.pcap,74,50:02:91:91:08:40,50:02:91:22:1A:8C,,,,,,
Ether,66,IP,52,TCP,32.0,1581674963.426995,66,50:00:00:01:00:03,00:50:00:00:1a:00,192.168.1.7,10.0.0.17,16.0,1883.0,35068.0,MQTT,MQTT_IEEE.pcap,75,50:02:91:22:1A:8C,50:02:91:8F:C6:4F,,,,,,
Ether,70,IP,56,TCP,36.0,1581674963.426999,70,50:00:00:01:00:03,00:50:00:00:1a:00,192.168.1.7,10.0.0.17,24.0,1883.0,35068.0,MQTT,MQTT_IEEE.pcap,76,50:02:91:22:1A:8C,50:02:91:8F:C6:4F,MQTT,4.0,MQTTConnack,2.0,,
Ether,106,IP,92,TCP,72.0,1581674963.427197,106,00:50:00:00:13:00,50:00:00:01:00:03,10.0.0.13,192.168.1.7,24.0,38052.0,1883.0,MQTT,MQTT_IEEE.pcap,77,50:02:91:91:08:40,50:02:91:22:1A:8C,MQTT,40.0,MQTTPublish,38.0,,
Ether,68,IP,54,TCP,34.0,1581674963.427203,68,00:50:00:00:13:00,50:00:00:01:00:03,10.0.0.13,192.168.1.7,25.0,38052.0,1883.0,MQTT,MQTT_IEEE.pcap,78,50:02:91:91:08:40,50:02:91:22:1A:8C,MQTT,2.0,,,,
Ether,66,IP,52,TCP,32.0,1581674963.427284,66,50:00:00:01:00:03,00:50:00:00:19:00,192.168.1.7,10.0.0.16,16.0,1883.0,58962.0,MQTT,MQTT_IEEE.pcap,79,50:02:91:22:1A:8C,50:02:91:CE:64:2E,,,,,,
Ether,66,IP,52,TCP,32.0,1581674963.427289,66,50:00:00:01:00:03,00:50:00:00:0e:00,192.168.1.7,10.0.0.7,16.0,1883.0,58286.0,MQTT,MQTT_IEEE.pcap,80,50:02:91:22:1A:8C,50:02:91:06:3C:94,,,,,,
Ether,66,IP,52,TCP,32.0,1581674963.427292,66,50:00:00:01:00:03,00:50:00:00:0e:00,192.168.1.7,10.0.0.7,17.0,1883.0,58286.0,MQTT,MQTT_IEEE.pcap,81,50:02:91:22:1A:8C,50:02:91:06:3C:94,,,,,,
Ether,70,IP,56,TCP,36.0,1581674963.427295,70,50:00:00:01:00:03,00:50:00:00:19:00,192.168.1.7,10.0.0.16,24.0,1883.0,58962.0,MQTT,MQTT_IEEE.pcap,82,50:02:91:22:1A:8C,50:02:91:CE:64:2E,MQTT,4.0,MQTTConnack,2.0,,
Ether,66,IP,52,TCP,32.0,1581674963.4280472,66,00:50:00:00:1a:00,50:00:00:01:00:03,10.0.0.17,192.168.1.7,16.0,35068.0,1883.0,MQTT,MQTT_IEEE.pcap,83,50:02:91:8F:C6:4F,50:02:91:22:1A:8C,,,,,,
Ether,87,IP,73,TCP,53.0,1581674963.428052,87,00:50:00:00:1a:00,50:00:00:01:00:03,10.0.0.17,192.168.1.7,24.0,35068.0,1883.0,MQTT,MQTT_IEEE.pcap,84,50:02:91:8F:C6:4F,50:02:91:22:1A:8C,MQTT,21.0,MQTTPublish,19.0,,
Ether,68,IP,54,TCP,34.0,1581674963.428055,68,00:50:00:00:1a:00,50:00:00:01:00:03,10.0.0.17,192.168.1.7,25.0,35068.0,1883.0,MQTT,MQTT_IEEE.pcap,85,50:02:91:8F:C6:4F,50:02:91:22:1A:8C,MQTT,2.0,,,,
Ether,66,IP,52,TCP,32.0,1581674963.428056,66,50:00:00:01:00:03,00:50:00:00:12:00,192.168.1.7,10.0.0.12,16.0,1883.0,39782.0,MQTT,MQTT_IEEE.pcap,86,50:02:91:22:1A:8C,50:02:91:1C:EF:A8,,,,,,
Ether,66,IP,52,TCP,32.0,1581674963.428061,66,50:00:00:01:00:03,00:50:00:00:12:00,192.168.1.7,10.0.0.12,17.0,1883.0,39782.0,MQTT,MQTT_IEEE.pcap,87,50:02:91:22:1A:8C,50:02:91:1C:EF:A8,,,,,,
Ether,66,IP,52,TCP,32.0,1581674963.428065,66,50:00:00:01:00:03,00:50:00:00:13:00,192.168.1.7,10.0.0.13,16.0,1883.0,38052.0,MQTT,MQTT_IEEE.pcap,88,50:02:91:22:1A:8C,50:02:91:91:08:40,,,,,,
Ether,66,IP,52,TCP,32.0,1581674963.4280689,66,50:00:00:01:00:03,00:50:00:00:13:00,192.168.1.7,10.0.0.13,17.0,1883.0,38052.0,MQTT,MQTT_IEEE.pcap,89,50:02:91:22:1A:8C,50:02:91:91:08:40,,,,,,
Ether,66,IP,52,TCP,32.0,1581674963.428414,66,00:50:00:00:19:00,50:00:00:01:00:03,10.0.0.16,192.168.1.7,16.0,58962.0,1883.0,MQTT,MQTT_IEEE.pcap,90,50:02:91:CE:64:2E,50:02:91:22:1A:8C,,,,,,
Ether,66,IP,52,TCP,32.0,1581674963.428448,66,00:50:00:00:0e:00,50:00:00:01:00:03,10.0.0.7,192.168.1.7,16.0,58286.0,1883.0,MQTT,MQTT_IEEE.pcap,91,50:02:91:06:3C:94,50:02:91:22:1A:8C,,,,,,
Ether,66,IP,52,TCP,32.0,1581674963.42846,66,50:00:00:01:00:03,00:50:00:00:1a:00,192.168.1.7,10.0.0.17,16.0,1883.0,35068.0,MQTT,MQTT_IEEE.pcap,92,50:02:91:22:1A:8C,50:02:91:8F:C6:4F,,,,,,
Ether,66,IP,52,TCP,32.0,1581674963.428467,66,50:00:00:01:00:03,00:50:00:00:1a:00,192.168.1.7,10.0.0.17,17.0,1883.0,35068.0,MQTT,MQTT_IEEE.pcap,93,50:02:91:22:1A:8C,50:02:91:8F:C6:4F,,,,,,
Ether,66,IP,52,TCP,32.0,1581674963.42855,66,00:50:00:00:12:00,50:00:00:01:00:03,10.0.0.12,192.168.1.7,16.0,39782.0,1883.0,MQTT,MQTT_IEEE.pcap,94,50:02:91:1C:EF:A8,50:02:91:22:1A:8C,,,,,,
Ether,66,IP,52,TCP,32.0,1581674963.428586,66,00:50:00:00:13:00,50:00:00:01:00:03,10.0.0.13,192.168.1.7,16.0,38052.0,1883.0,MQTT,MQTT_IEEE.pcap,95,50:02:91:91:08:40,50:02:91:22:1A:8C,,,,,,
Ether,86,IP,72,TCP,52.0,1581674963.4287028,86,00:50:00:00:19:00,50:00:00:01:00:03,10.0.0.16,192.168.1.7,24.0,58962.0,1883.0,MQTT,MQTT_IEEE.pcap,96,50:02:91:CE:64:2E,50:02:91:22:1A:8C,MQTT,20.0,MQTTPublish,18.0,,
Ether,68,IP,54,TCP,34.0,1581674963.42871,68,00:50:00:00:19:00,50:00:00:01:00:03,10.0.0.16,192.168.1.7,25.0,58962.0,1883.0,MQTT,MQTT_IEEE.pcap,97,50:02:91:CE:64:2E,50:02:91:22:1A:8C,MQTT,2.0,,,,
Ether,66,IP,52,TCP,32.0,1581674963.428736,66,00:50:00:00:1a:00,50:00:00:01:00:03,10.0.0.17,192.168.1.7,16.0,35068.0,1883.0,MQTT,MQTT_IEEE.pcap,98,50:02:91:8F:C6:4F,50:02:91:22:1A:8C,,,,,,
