layers_0,length_0,layers_1,length_1,timestamps,length_total,mac_src,mac_dst,ip_src,ip_dst,flags,sport,dport,application,filename,num_packet,mac_src_custom,mac_dst_custom,layers_2,length_2,layers_3,length_3,layers_4,length_4,payload_layers,header_length,payload_length,flow_id_mac,flow_id_ip,flow_id
IP,52,TCP,32.0,1581674962.9522948,52,50:00:00:01:00:03,00:50:00:00:0c:00,192.168.1.7,10.0.0.5,17.0,1883.0,56572.0,MQTT,MQTT_IEEE.pcap,10,50:02:91:22:1A:8C,50:02:91:EA:4E:80,None,0.0,None,0.0,None,0,2.0,20.0,32.0,27.0,27.0,149550.0
IP,52,TCP,32.0,1581674962.952459,52,00:50:00:00:0c:00,50:00:00:01:00:03,10.0.0.5,192.168.1.7,16.0,56572.0,1883.0,MQTT,MQTT_IEEE.pcap,11,50:02:91:EA:4E:80,50:02:91:22:1A:8C,None,0.0,None,0.0,None,0,2.0,20.0,32.0,27.0,27.0,149550.0
IP,60,TCP,40.0,1581674963.135728,60,00:50:00:00:15:00,50:00:00:01:00:03,10.0.0.11,192.168.1.7,2.0,51906.0,1883.0,MQTT,MQTT_IEEE.pcap,13,50:02:91:55:8E:56,50:02:91:22:1A:8C,None,0.0,None,0.0,None,0,2.0,20.0,40.0,21.0,21.0,100684.0
IP,60,TCP,40.0,1581674963.136032,60,50:00:00:01:00:03,00:50:00:00:15:00,192.168.1.7,10.0.0.11,18.0,1883.0,51906.0,MQTT,MQTT_IEEE.pcap,14,50:02:91:22:1A:8C,50:02:91:55:8E:56,None,0.0,None,0.0,None,0,2.0,20.0,40.0,21.0,21.0,100684.0
IP,52,TCP,32.0,1581674963.136283,52,00:50:00:00:15:00,50:00:00:01:00:03,10.0.0.11,192.168.1.7,16.0,51906.0,1883.0,MQTT,MQTT_IEEE.pcap,15,50:02:91:55:8E:56,50:02:91:22:1A:8C,None,0.0,None,0.0,None,0,2.0,20.0,32.0,21.0,21.0,100684.0
IP,101,TCP,81.0,1581674963.136347,101,00:50:00:00:15:00,50:00:00:01:00:03,10.0.0.11,192.168.1.7,24.0,51906.0,1883.0,MQTT,MQTT_IEEE.pcap,16,50:02:91:55:8E:56,50:02:91:22:1A:8C,MQTT,49.0,MQTTConnect,47.0,None,0,4.0,54.0,47.0,21.0,21.0,100684.0
IP,60,TCP,40.0,1581674963.136465,60,00:50:00:00:17:00,50:00:00:01:00:03,10.0.0.14,192.168.1.7,2.0,54202.0,1883.0,MQTT,MQTT_IEEE.pcap,17,50:02:91:1E:08:55,50:02:91:22:1A:8C,None,0.0,None,0.0,None,0,2.0,20.0,40.0,12.0,12.0,121774.0
IP,52,TCP,32.0,1581674963.136516,52,50:00:00:01:00:03,00:50:00:00:15:00,192.168.1.7,10.0.0.11,16.0,1883.0,51906.0,MQTT,MQTT_IEEE.pcap,18,50:02:91:22:1A:8C,50:02:91:55:8E:56,None,0.0,None,0.0,None,0,2.0,20.0,32.0,21.0,21.0,100684.0
IP,56,TCP,36.0,1581674963.1365368,56,50:00:00:01:00:03,00:50:00:00:15:00,192.168.1.7,10.0.0.11,24.0,1883.0,51906.0,MQTT,MQTT_IEEE.pcap,19,50:02:91:22:1A:8C,50:02:91:55:8E:56,MQTT,4.0,MQTTConnack,2.0,None,0,4.0,54.0,2.0,21.0,21.0,100684.0
IP,60,TCP,40.0,1581674963.136599,60,50:00:00:01:00:03,00:50:00:00:17:00,192.168.1.7,10.0.0.14,18.0,1883.0,54202.0,MQTT,MQTT_IEEE.pcap,20,50:02:91:22:1A:8C,50:02:91:1E:08:55,None,0.0,None,0.0,None,0,2.0,20.0,40.0,12.0,12.0,121774.0
IP,52,TCP,32.0,1581674963.136792,52,00:50:00:00:15:00,50:00:00:01:00:03,10.0.0.11,192.168.1.7,16.0,51906.0,1883.0,MQTT,MQTT_IEEE.pcap,22,50:02:91:55:8E:56,50:02:91:22:1A:8C,None,0.0,None,0.0,None,0,2.0,20.0,32.0,21.0,21.0,100684.0
IP,112,TCP,92.0,1581674963.136805,112,00:50:00:00:15:00,50:00:00:01:00:03,10.0.0.11,192.168.1.7,24.0,51906.0,1883.0,MQTT,MQTT_IEEE.pcap,23,50:02:91:55:8E:56,50:02:91:22:1A:8C,MQTT,60.0,MQTTPublish,58.0,None,0,4.0,54.0,58.0,21.0,21.0,100684.0
IP,54,TCP,34.0,1581674963.136874,54,00:50:00:00:15:00,50:00:00:01:00:03,10.0.0.11,192.168.1.7,25.0,51906.0,1883.0,MQTT,MQTT_IEEE.pcap,24,50:02:91:55:8E:56,50:02:91:22:1A:8C,MQTT,2.0,None,0.0,None,0,3.0,52.0,2.0,21.0,21.0,100684.0
IP,52,TCP,32.0,1581674963.137,52,50:00:00:01:00:03,00:50:00:00:15:00,192.168.1.7,10.0.0.11,16.0,1883.0,51906.0,MQTT,MQTT_IEEE.pcap,25,50:02:91:22:1A:8C,50:02:91:55:8E:56,None,0.0,None,0.0,None,0,2.0,20.0,32.0,21.0,21.0,100684.0
IP,52,TCP,32.0,1581674963.137004,52,50:00:00:01:00:03,00:50:00:00:15:00,192.168.1.7,10.0.0.11,17.0,1883.0,51906.0,MQTT,MQTT_IEEE.pcap,26,50:02:91:22:1A:8C,50:02:91:55:8E:56,None,0.0,None,0.0,None,0,2.0,20.0,32.0,21.0,21.0,100684.0
IP,52,TCP,32.0,1581674963.137179,52,00:50:00:00:15:00,50:00:00:01:00:03,10.0.0.11,192.168.1.7,16.0,51906.0,1883.0,MQTT,MQTT_IEEE.pcap,27,50:02:91:55:8E:56,50:02:91:22:1A:8C,None,0.0,None,0.0,None,0,2.0,20.0,32.0,21.0,21.0,100684.0
IP,52,TCP,32.0,1581674963.137434,52,00:50:00:00:17:00,50:00:00:01:00:03,10.0.0.14,192.168.1.7,16.0,54202.0,1883.0,MQTT,MQTT_IEEE.pcap,28,50:02:91:1E:08:55,50:02:91:22:1A:8C,None,0.0,None,0.0,None,0,2.0,20.0,32.0,12.0,12.0,121774.0
IP,101,TCP,81.0,1581674963.13749,101,00:50:00:00:17:00,50:00:00:01:00:03,10.0.0.14,192.168.1.7,24.0,54202.0,1883.0,MQTT,MQTT_IEEE.pcap,29,50:02:91:1E:08:55,50:02:91:22:1A:8C,MQTT,49.0,MQTTConnect,47.0,None,0,4.0,54.0,47.0,12.0,12.0,121774.0
IP,52,TCP,32.0,1581674963.137582,52,50:00:00:01:00:03,00:50:00:00:17:00,192.168.1.7,10.0.0.14,16.0,1883.0,54202.0,MQTT,MQTT_IEEE.pcap,30,50:02:91:22:1A:8C,50:02:91:1E:08:55,None,0.0,None,0.0,None,0,2.0,20.0,32.0,12.0,12.0,121774.0
IP,56,TCP,36.0,1581674963.137601,56,50:00:00:01:00:03,00:50:00:00:17:00,192.168.1.7,10.0.0.14,24.0,1883.0,54202.0,MQTT,MQTT_IEEE.pcap,31,50:02:91:22:1A:8C,50:02:91:1E:08:55,MQTT,4.0,MQTTConnack,2.0,None,0,4.0,54.0,2.0,12.0,12.0,121774.0
IP,52,TCP,32.0,1581674963.137768,52,00:50:00:00:17:00,50:00:00:01:00:03,10.0.0.14,192.168.1.7,16.0,54202.0,1883.0,MQTT,MQTT_IEEE.pcap,32,50:02:91:1E:08:55,50:02:91:22:1A:8C,None,0.0,None,0.0,None,0,2.0,20.0,32.0,12.0,12.0,121774.0
IP,160,TCP,140.0,1581674963.137862,160,00:50:00:00:17:00,50:00:00:01:00:03,10.0.0.14,192.168.1.7,24.0,54202.0,1883.0,MQTT,MQTT_IEEE.pcap,33,50:02:91:1E:08:55,50:02:91:22:1A:8C,MQTT,108.0,MQTTPublish,106.0,None,0,4.0,54.0,106.0,12.0,12.0,121774.0
IP,54,TCP,34.0,1581674963.137883,54,00:50:00:00:17:00,50:00:00:01:00:03,10.0.0.14,192.168.1.7,25.0,54202.0,1883.0,MQTT,MQTT_IEEE.pcap,34,50:02:91:1E:08:55,50:02:91:22:1A:8C,MQTT,2.0,None,0.0,None,0,3.0,52.0,2.0,12.0,12.0,121774.0
IP,52,TCP,32.0,1581674963.137992,52,50:00:00:01:00:03,00:50:00:00:17:00,192.168.1.7,10.0.0.14,16.0,1883.0,54202.0,MQTT,MQTT_IEEE.pcap,35,50:02:91:22:1A:8C,50:02:91:1E:08:55,None,0.0,None,0.0,None,0,2.0,20.0,32.0,12.0,12.0,121774.0
IP,52,TCP,32.0,1581674963.1379962,52,50:00:00:01:00:03,00:50:00:00:17:00,192.168.1.7,10.0.0.14,17.0,1883.0,54202.0,MQTT,MQTT_IEEE.pcap,36,50:02:91:22:1A:8C,50:02:91:1E:08:55,None,0.0,None,0.0,None,0,2.0,20.0,32.0,12.0,12.0,121774.0
IP,52,TCP,32.0,1581674963.138167,52,00:50:00:00:17:00,50:00:00:01:00:03,10.0.0.14,192.168.1.7,16.0,54202.0,1883.0,MQTT,MQTT_IEEE.pcap,37,50:02:91:1E:08:55,50:02:91:22:1A:8C,None,0.0,None,0.0,None,0,2.0,20.0,32.0,12.0,12.0,121774.0
IP,60,TCP,40.0,1581674963.321474,60,00:50:00:00:1f:00,50:00:00:01:00:03,10.0.0.23,8.8.8.8,2.0,39760.0,53.0,OTHERS,MQTT_IEEE.pcap,39,50:02:91:21:8E:5C,50:02:91:1F:C3:57,None,0.0,None,0.0,None,0,2.0,20.0,40.0,5.0,5.0,61982.0
IP,60,TCP,40.0,1581674963.3214786,60,00:50:00:00:1f:00,50:00:00:01:00:03,10.0.0.23,8.8.8.8,2.0,39758.0,53.0,OTHERS,MQTT_IEEE.pcap,40,50:02:91:21:8E:5C,50:02:91:1F:C3:57,None,0.0,None,0.0,None,0,2.0,20.0,40.0,5.0,5.0,61981.0
IP,60,TCP,40.0,1581674963.321482,60,00:50:00:00:1f:00,50:00:00:01:00:03,10.0.0.23,8.8.8.8,2.0,39756.0,53.0,OTHERS,MQTT_IEEE.pcap,41,50:02:91:21:8E:5C,50:02:91:1F:C3:57,None,0.0,None,0.0,None,0,2.0,20.0,40.0,5.0,5.0,61980.0
IP,60,TCP,40.0,1581674963.422321,60,00:50:00:00:12:00,50:00:00:01:00:03,10.0.0.12,192.168.1.7,2.0,39782.0,1883.0,MQTT,MQTT_IEEE.pcap,42,50:02:91:1C:EF:A8,50:02:91:22:1A:8C,None,0.0,None,0.0,None,0,2.0,20.0,40.0,11.0,11.0,105231.0
IP,60,TCP,40.0,1581674963.42235,60,00:50:00:00:13:00,50:00:00:01:00:03,10.0.0.13,192.168.1.7,2.0,38052.0,1883.0,MQTT,MQTT_IEEE.pcap,43,50:02:91:91:08:40,50:02:91:22:1A:8C,None,0.0,None,0.0,None,0,2.0,20.0,40.0,23.0,23.0,111878.0
IP,60,TCP,40.0,1581674963.4240868,60,00:50:00:00:0e:00,50:00:00:01:00:03,10.0.0.7,192.168.1.7,2.0,58286.0,1883.0,MQTT,MQTT_IEEE.pcap,44,50:02:91:06:3C:94,50:02:91:22:1A:8C,None,0.0,None,0.0,None,0,2.0,20.0,40.0,9.0,9.0,163700.0
IP,60,TCP,40.0,1581674963.424191,60,50:00:00:01:00:03,00:50:00:00:12:00,192.168.1.7,10.0.0.12,18.0,1883.0,39782.0,MQTT,MQTT_IEEE.pcap,45,50:02:91:22:1A:8C,50:02:91:1C:EF:A8,None,0.0,None,0.0,None,0,2.0,20.0,40.0,11.0,11.0,105231.0
IP,60,TCP,40.0,1581674963.4241982,60,50:00:00:01:00:03,00:50:00:00:13:00,192.168.1.7,10.0.0.13,18.0,1883.0,38052.0,MQTT,MQTT_IEEE.pcap,46,50:02:91:22:1A:8C,50:02:91:91:08:40,None,0.0,None,0.0,None,0,2.0,20.0,40.0,23.0,23.0,111878.0
IP,60,TCP,40.0,1581674963.424234,60,00:50:00:00:19:00,50:00:00:01:00:03,10.0.0.16,192.168.1.7,2.0,58962.0,1883.0,MQTT,MQTT_IEEE.pcap,47,50:02:91:CE:64:2E,50:02:91:22:1A:8C,None,0.0,None,0.0,None,0,2.0,20.0,40.0,24.0,24.0,137449.0
IP,60,TCP,40.0,1581674963.424435,60,50:00:00:01:00:03,00:50:00:00:0e:00,192.168.1.7,10.0.0.7,18.0,1883.0,58286.0,MQTT,MQTT_IEEE.pcap,48,50:02:91:22:1A:8C,50:02:91:06:3C:94,None,0.0,None,0.0,None,0,2.0,20.0,40.0,9.0,9.0,163700.0
IP,52,TCP,32.0,1581674963.424596,52,00:50:00:00:13:00,50:00:00:01:00:03,10.0.0.13,192.168.1.7,16.0,38052.0,1883.0,MQTT,MQTT_IEEE.pcap,49,50:02:91:91:08:40,50:02:91:22:1A:8C,None,0.0,None,0.0,None,0,2.0,20.0,32.0,23.0,23.0,111878.0
IP,52,TCP,32.0,1581674963.424602,52,00:50:00:00:12:00,50:00:00:01:00:03,10.0.0.12,192.168.1.7,16.0,39782.0,1883.0,MQTT,MQTT_IEEE.pcap,50,50:02:91:1C:EF:A8,50:02:91:22:1A:8C,None,0.0,None,0.0,None,0,2.0,20.0,32.0,11.0,11.0,105231.0
IP,60,TCP,40.0,1581674963.424912,60,00:50:00:00:1a:00,50:00:00:01:00:03,10.0.0.17,192.168.1.7,2.0,35068.0,1883.0,MQTT,MQTT_IEEE.pcap,51,50:02:91:8F:C6:4F,50:02:91:22:1A:8C,None,0.0,None,0.0,None,0,2.0,20.0,40.0,22.0,22.0,138468.0
IP,100,TCP,80.0,1581674963.425158,100,00:50:00:00:12:00,50:00:00:01:00:03,10.0.0.12,192.168.1.7,24.0,39782.0,1883.0,MQTT,MQTT_IEEE.pcap,52,50:02:91:1C:EF:A8,50:02:91:22:1A:8C,MQTT,48.0,MQTTConnect,46.0,None,0,4.0,54.0,46.0,11.0,11.0,105231.0
IP,52,TCP,32.0,1581674963.42535,52,00:50:00:00:0e:00,50:00:00:01:00:03,10.0.0.7,192.168.1.7,16.0,58286.0,1883.0,MQTT,MQTT_IEEE.pcap,53,50:02:91:06:3C:94,50:02:91:22:1A:8C,None,0.0,None,0.0,None,0,2.0,20.0,32.0,9.0,9.0,163700.0
IP,101,TCP,81.0,1581674963.425356,101,00:50:00:00:0e:00,50:00:00:01:00:03,10.0.0.7,192.168.1.7,24.0,58286.0,1883.0,MQTT,MQTT_IEEE.pcap,54,50:02:91:06:3C:94,50:02:91:22:1A:8C,MQTT,49.0,MQTTConnect,47.0,None,0,4.0,54.0,47.0,9.0,9.0,163700.0
IP,60,TCP,40.0,1581674963.425422,60,50:00:00:01:00:03,00:50:00:00:19:00,192.168.1.7,10.0.0.16,18.0,1883.0,58962.0,MQTT,MQTT_IEEE.pcap,55,50:02:91:22:1A:8C,50:02:91:CE:64:2E,None,0.0,None,0.0,None,0,2.0,20.0,40.0,24.0,24.0,137449.0
IP,101,TCP,81.0,1581674963.4254448,101,00:50:00:00:13:00,50:00:00:01:00:03,10.0.0.13,192.168.1.7,24.0,38052.0,1883.0,MQTT,MQTT_IEEE.pcap,56,50:02:91:91:08:40,50:02:91:22:1A:8C,MQTT,49.0,MQTTConnect,47.0,None,0,4.0,54.0,47.0,23.0,23.0,111878.0
IP,60,TCP,40.0,1581674963.425498,60,50:00:00:01:00:03,00:50:00:00:1a:00,192.168.1.7,10.0.0.17,18.0,1883.0,35068.0,MQTT,MQTT_IEEE.pcap,57,50:02:91:22:1A:8C,50:02:91:8F:C6:4F,None,0.0,None,0.0,None,0,2.0,20.0,40.0,22.0,22.0,138468.0
IP,52,TCP,32.0,1581674963.425503,52,50:00:00:01:00:03,00:50:00:00:12:00,192.168.1.7,10.0.0.12,16.0,1883.0,39782.0,MQTT,MQTT_IEEE.pcap,58,50:02:91:22:1A:8C,50:02:91:1C:EF:A8,None,0.0,None,0.0,None,0,2.0,20.0,32.0,11.0,11.0,105231.0
IP,52,TCP,32.0,1581674963.4255712,52,50:00:00:01:00:03,00:50:00:00:0e:00,192.168.1.7,10.0.0.7,16.0,1883.0,58286.0,MQTT,MQTT_IEEE.pcap,59,50:02:91:22:1A:8C,50:02:91:06:3C:94,None,0.0,None,0.0,None,0,2.0,20.0,32.0,9.0,9.0,163700.0
IP,56,TCP,36.0,1581674963.425576,56,50:00:00:01:00:03,00:50:00:00:12:00,192.168.1.7,10.0.0.12,24.0,1883.0,39782.0,MQTT,MQTT_IEEE.pcap,60,50:02:91:22:1A:8C,50:02:91:1C:EF:A8,MQTT,4.0,MQTTConnack,2.0,None,0,4.0,54.0,2.0,11.0,11.0,105231.0
IP,56,TCP,36.0,1581674963.425646,56,50:00:00:01:00:03,00:50:00:00:0e:00,192.168.1.7,10.0.0.7,24.0,1883.0,58286.0,MQTT,MQTT_IEEE.pcap,61,50:02:91:22:1A:8C,50:02:91:06:3C:94,MQTT,4.0,MQTTConnack,2.0,None,0,4.0,54.0,2.0,9.0,9.0,163700.0
IP,52,TCP,32.0,1581674963.425704,52,50:00:00:01:00:03,00:50:00:00:13:00,192.168.1.7,10.0.0.13,16.0,1883.0,38052.0,MQTT,MQTT_IEEE.pcap,62,50:02:91:22:1A:8C,50:02:91:91:08:40,None,0.0,None,0.0,None,0,2.0,20.0,32.0,23.0,23.0,111878.0
IP,56,TCP,36.0,1581674963.425859,56,50:00:00:01:00:03,00:50:00:00:13:00,192.168.1.7,10.0.0.13,24.0,1883.0,38052.0,MQTT,MQTT_IEEE.pcap,63,50:02:91:22:1A:8C,50:02:91:91:08:40,MQTT,4.0,MQTTConnack,2.0,None,0,4.0,54.0,2.0,23.0,23.0,111878.0
IP,52,TCP,32.0,1581674963.4266882,52,00:50:00:00:1a:00,50:00:00:01:00:03,10.0.0.17,192.168.1.7,16.0,35068.0,1883.0,MQTT,MQTT_IEEE.pcap,64,50:02:91:8F:C6:4F,50:02:91:22:1A:8C,None,0.0,None,0.0,None,0,2.0,20.0,32.0,22.0,22.0,138468.0
IP,101,TCP,81.0,1581674963.426693,101,00:50:00:00:1a:00,50:00:00:01:00:03,10.0.0.17,192.168.1.7,24.0,35068.0,1883.0,MQTT,MQTT_IEEE.pcap,65,50:02:91:8F:C6:4F,50:02:91:22:1A:8C,MQTT,49.0,MQTTConnect,47.0,None,0,4.0,54.0,47.0,22.0,22.0,138468.0
IP,52,TCP,32.0,1581674963.4267,52,00:50:00:00:19:00,50:00:00:01:00:03,10.0.0.16,192.168.1.7,16.0,58962.0,1883.0,MQTT,MQTT_IEEE.pcap,66,50:02:91:CE:64:2E,50:02:91:22:1A:8C,None,0.0,None,0.0,None,0,2.0,20.0,32.0,24.0,24.0,137449.0
IP,101,TCP,81.0,1581674963.426703,101,00:50:00:00:19:00,50:00:00:01:00:03,10.0.0.16,192.168.1.7,24.0,58962.0,1883.0,MQTT,MQTT_IEEE.pcap,67,50:02:91:CE:64:2E,50:02:91:22:1A:8C,MQTT,49.0,MQTTConnect,47.0,None,0,4.0,54.0,47.0,24.0,24.0,137449.0
IP,52,TCP,32.0,1581674963.42671,52,00:50:00:00:0e:00,50:00:00:01:00:03,10.0.0.7,192.168.1.7,16.0,58286.0,1883.0,MQTT,MQTT_IEEE.pcap,68,50:02:91:06:3C:94,50:02:91:22:1A:8C,None,0.0,None,0.0,None,0,2.0,20.0,32.0,9.0,9.0,163700.0
IP,73,TCP,53.0,1581674963.426713,73,00:50:00:00:0e:00,50:00:00:01:00:03,10.0.0.7,192.168.1.7,24.0,58286.0,1883.0,MQTT,MQTT_IEEE.pcap,69,50:02:91:06:3C:94,50:02:91:22:1A:8C,MQTT,21.0,MQTTPublish,19.0,None,0,4.0,54.0,19.0,9.0,9.0,163700.0
IP,54,TCP,34.0,1581674963.426719,54,00:50:00:00:0e:00,50:00:00:01:00:03,10.0.0.7,192.168.1.7,25.0,58286.0,1883.0,MQTT,MQTT_IEEE.pcap,70,50:02:91:06:3C:94,50:02:91:22:1A:8C,MQTT,2.0,None,0.0,None,0,3.0,52.0,2.0,9.0,9.0,163700.0
IP,52,TCP,32.0,1581674963.426975,52,00:50:00:00:12:00,50:00:00:01:00:03,10.0.0.12,192.168.1.7,16.0,39782.0,1883.0,MQTT,MQTT_IEEE.pcap,71,50:02:91:1C:EF:A8,50:02:91:22:1A:8C,None,0.0,None,0.0,None,0,2.0,20.0,32.0,11.0,11.0,105231.0
IP,92,TCP,72.0,1581674963.42698,92,00:50:00:00:12:00,50:00:00:01:00:03,10.0.0.12,192.168.1.7,24.0,39782.0,1883.0,MQTT,MQTT_IEEE.pcap,72,50:02:91:1C:EF:A8,50:02:91:22:1A:8C,MQTT,40.0,MQTTPublish,38.0,None,0,4.0,54.0,38.0,11.0,11.0,105231.0
IP,54,TCP,34.0,1581674963.426983,54,00:50:00:00:12:00,50:00:00:01:00:03,10.0.0.12,192.168.1.7,25.0,39782.0,1883.0,MQTT,MQTT_IEEE.pcap,73,50:02:91:1C:EF:A8,50:02:91:22:1A:8C,MQTT,2.0,None,0.0,None,0,3.0,52.0,2.0,11.0,11.0,105231.0
IP,52,TCP,32.0,1581674963.426986,52,00:50:00:00:13:00,50:00:00:01:00:03,10.0.0.13,192.168.1.7,16.0,38052.0,1883.0,MQTT,MQTT_IEEE.pcap,74,50:02:91:91:08:40,50:02:91:22:1A:8C,None,0.0,None,0.0,None,0,2.0,20.0,32.0,23.0,23.0,111878.0
IP,52,TCP,32.0,1581674963.426995,52,50:00:00:01:00:03,00:50:00:00:1a:00,192.168.1.7,10.0.0.17,16.0,1883.0,35068.0,MQTT,MQTT_IEEE.pcap,75,50:02:91:22:1A:8C,50:02:91:8F:C6:4F,None,0.0,None,0.0,None,0,2.0,20.0,32.0,22.0,22.0,138468.0
IP,56,TCP,36.0,1581674963.426999,56,50:00:00:01:00:03,00:50:00:00:1a:00,192.168.1.7,10.0.0.17,24.0,1883.0,35068.0,MQTT,MQTT_IEEE.pcap,76,50:02:91:22:1A:8C,50:02:91:8F:C6:4F,MQTT,4.0,MQTTConnack,2.0,None,0,4.0,54.0,2.0,22.0,22.0,138468.0
IP,92,TCP,72.0,1581674963.427197,92,00:50:00:00:13:00,50:00:00:01:00:03,10.0.0.13,192.168.1.7,24.0,38052.0,1883.0,MQTT,MQTT_IEEE.pcap,77,50:02:91:91:08:40,50:02:91:22:1A:8C,MQTT,40.0,MQTTPublish,38.0,None,0,4.0,54.0,38.0,23.0,23.0,111878.0
IP,54,TCP,34.0,1581674963.427203,54,00:50:00:00:13:00,50:00:00:01:00:03,10.0.0.13,192.168.1.7,25.0,38052.0,1883.0,MQTT,MQTT_IEEE.pcap,78,50:02:91:91:08:40,50:02:91:22:1A:8C,MQTT,2.0,None,0.0,None,0,3.0,52.0,2.0,23.0,23.0,111878.0
IP,52,TCP,32.0,1581674963.427284,52,50:00:00:01:00:03,00:50:00:00:19:00,192.168.1.7,10.0.0.16,16.0,1883.0,58962.0,MQTT,MQTT_IEEE.pcap,79,50:02:91:22:1A:8C,50:02:91:CE:64:2E,None,0.0,None,0.0,None,0,2.0,20.0,32.0,24.0,24.0,137449.0
IP,52,TCP,32.0,1581674963.427289,52,50:00:00:01:00:03,00:50:00:00:0e:00,192.168.1.7,10.0.0.7,16.0,1883.0,58286.0,MQTT,MQTT_IEEE.pcap,80,50:02:91:22:1A:8C,50:02:91:06:3C:94,None,0.0,None,0.0,None,0,2.0,20.0,32.0,9.0,9.0,163700.0
IP,52,TCP,32.0,1581674963.427292,52,50:00:00:01:00:03,00:50:00:00:0e:00,192.168.1.7,10.0.0.7,17.0,1883.0,58286.0,MQTT,MQTT_IEEE.pcap,81,50:02:91:22:1A:8C,50:02:91:06:3C:94,None,0.0,None,0.0,None,0,2.0,20.0,32.0,9.0,9.0,163700.0
IP,56,TCP,36.0,1581674963.427295,56,50:00:00:01:00:03,00:50:00:00:19:00,192.168.1.7,10.0.0.16,24.0,1883.0,58962.0,MQTT,MQTT_IEEE.pcap,82,50:02:91:22:1A:8C,50:02:91:CE:64:2E,MQTT,4.0,MQTTConnack,2.0,None,0,4.0,54.0,2.0,24.0,24.0,137449.0
